Tiêu đề sách,Đã bán (Sách),Giá bán (VNĐ),Giá gốc (VNĐ),Mã Kim Đồng (Mã sách),ISBN (Mã quốc tế),Tác giả,Đối tượng,Chiều dài (cm),Chiều rộng (cm),Số trang,Định dạng,Trọng lượng (gram),Bộ sách,Loại sách,Mô tả
Dragon Quest - Dấu ấn Roto (Perfect Edition) - Tập 11 (Tặng Kèm Bookmark PVC),593,67500,75000,5222214900011,978-604-2-23567-9,"Kamui Fujiwara, Chiaki Kawamata",Tuổi mới lớn,18,13,272,bìa mềm,300,Dragon Quest - Dấu ấn Roto (Perfect Edition),Manga - comic,"DRAGON QUEST - DẤU ẤN ROTO: Series Manga đến từ thương hiệu Game huyền thoại chính thức đổ bộ tại Việt Nam vào cuối tháng 11.2021!! Có lẽ không cần phải giới thiệu quá nhiều về một trong những bộ Manga thuộc Series ""Dragon Quest"" cực kì nổi tại Việt Nam với tên gọi cũ là ""Dấu ấn rồng thiêng""! Phải gần 25 năm, người hâm mộ Dragon Quest mới được chính thức sở hữu những cuốn Manga có bản quyền và đặc biệt hơn, lại là bản HOÀN CHỈNH! Là phần truyện độc lập với series ""Adventure of Dai - Cuộc phiêu lưu của Dai Dũng sĩ"" trên tạp chí Jump, ""Emblem of Roto"" nói về hành trình của Dũng sĩ Arus - Người mang trong mình dòng máu của Dũng sĩ Roto - sát cánh bên Tam Vương nhằm tiêu diệt Dị Ma Thần. Để làm được điều đó, cậu phải vượt qua muôn vàn khó khăn và thử thách! Nhưng với trái tim nhân hậu và lòng quả cảm, Arus dần trưởng thành, lãnh hội được nhiều thần chú, học hỏi được nhiều điều qua mỗi vùng đất mà cậu phiêu lưu! Quan trọng là niềm tin mãnh liệt không hề lùi bước trước khó khăn! Không khó hiểu lí do vì sao ""Dấu ấn rồng thiêng"" ngày nào trở thành một trong những tác phẩm ""kinh điển"" của tuổi thơ những thế hệ độc giả Manga đời đầu. Trong vai trò là tác phẩm mở đường, DRAGON QUEST - DẤU ẤN ROTO cũng là bộ truyện thứ 5 thuộc dòng Deluxe của NXB Kim Đồng. Với sự đầu tư, chăm chút và đặt nhiều kì vọng, rất hi vọng các bạn độc giả sẽ đón nhận thật nhiệt thành, và sẽ có những trải nghiệm lí thú khi dõi theo bước đường trưởng thành của Dũng sĩ Arus cùng những người đồng đội! SáchTặng Kèm Bookmark PVC cho bản in đầu tiên"
Boxset Clover (tập 1+2),582,45000,90000,5222215380100,không có,Clamp,Tuổi mới lớn,18,13,không có,bìa mềm,535,Clover,Manga - comic,"CLOVER - Khúc ca khát khao hạnh phúc từ nỗi cô độc. Kazuhiko là một quân nhân đã giải ngũ đột nhiên được triệu tập để thực hiện nhiệm vụ đặc biệt của Chính phủ. Thế nhưng Kazuhiko không ngờ rằng nhiệm vụ ấy đã đưa anh hội ngộ với quá khứ chôn chặt trong lòng... CLOVER là tác phẩm mang phong cách steampunk rất đặc trưng qua nét bút của bộ tứ CLAMP, chắc chắn sẽ mang lại nhiều trải nghiệm đặc biệt dành cho các Fan của nhóm tác giả tài hoa này. Sách được thiết kế với phong cách khác biệt so với bản gốc, kèm theo trang màu ở đầu mỗi tập, và được đóng trong hộp với thiết kế tinh tế, sang trọng. Sẵn sàng lên kệ vào đầu tháng 6.2022. Xin trân trọng giới thiệu cùng bạn đọc."
Dragon Quest - Dấu ấn Roto (Perfect Edition) - Tập 13 (Tặng Kèm Bookmark PVC),596,67500,75000,5222214900013,978-604-2-27582-8,"Kamui Fujiwara, Chiaki Kawamata",Tuổi mới lớn,18,13,264,bìa mềm,300,Dragon Quest - Dấu ấn Roto (Perfect Edition),Manga - comic,"DRAGON QUEST - DẤU ẤN ROTO: Series Manga đến từ thương hiệu Game huyền thoại chính thức đổ bộ tại Việt Nam vào cuối tháng 11.2021!! Có lẽ không cần phải giới thiệu quá nhiều về một trong những bộ Manga thuộc Series ""Dragon Quest"" cực kì nổi tại Việt Nam với tên gọi cũ là ""Dấu ấn rồng thiêng""! Phải gần 25 năm, người hâm mộ Dragon Quest mới được chính thức sở hữu những cuốn Manga có bản quyền và đặc biệt hơn, lại là bản HOÀN CHỈNH! Là phần truyện độc lập với series ""Adventure of Dai - Cuộc phiêu lưu của Dai Dũng sĩ"" trên tạp chí Jump, ""Emblem of Roto"" nói về hành trình của Dũng sĩ Arus - Người mang trong mình dòng máu của Dũng sĩ Roto - sát cánh bên Tam Vương nhằm tiêu diệt Dị Ma Thần. Để làm được điều đó, cậu phải vượt qua muôn vàn khó khăn và thử thách! Nhưng với trái tim nhân hậu và lòng quả cảm, Arus dần trưởng thành, lãnh hội được nhiều thần chú, học hỏi được nhiều điều qua mỗi vùng đất mà cậu phiêu lưu! Quan trọng là niềm tin mãnh liệt không hề lùi bước trước khó khăn! Không khó hiểu lí do vì sao ""Dấu ấn rồng thiêng"" ngày nào trở thành một trong những tác phẩm ""kinh điển"" của tuổi thơ những thế hệ độc giả Manga đời đầu. Trong vai trò là tác phẩm mở đường, DRAGON QUEST - DẤU ẤN ROTO cũng là bộ truyện thứ 5 thuộc dòng Deluxe của NXB Kim Đồng. Với sự đầu tư, chăm chút và đặt nhiều kì vọng, rất hi vọng các bạn độc giả sẽ đón nhận thật nhiệt thành, và sẽ có những trải nghiệm lí thú khi dõi theo bước đường trưởng thành của Dũng sĩ Arus cùng những người đồng đội! SáchTặng Kèm Bookmark PVC cho bản in đầu tiên"
Kaguya - Cuộc chiến tỏ tình - Tập 5 (Tặng Kèm Bìa áo độc quyền),583,36000,40000,5222215730005,978-604-2-27588-0,Aka Akasaka,Tuổi mới lớn,18,13,208,bìa mềm,220,Kaguya - Cuộc chiến tỏ tình,Manga - comic,"Hội trưởng Shirogane Miyuki và hội phó Shinomiya Kaguya gặp nhau tại Hội Học Sinh của học viện Shuchiin, nơi hội tụ của những con người thuộc tầng lớp thượng lưu... Đây là câu chuyện tình cảm hài hước mới mẻ về hai thiên tài tuy trong lòng thích nhau lắm rồi, nhưng vẫn ngày ngày bày mưu tính kế cầm cưa, bắt người kia phải tỏ tình trước. Trong tập 5 này, ngoài cuộc chiến tình yêu mà ai ai cũng đã biết, mời các bạn đón đọc trọn vẹn câu chuyện kì nghỉ hè đầy xúc động của các nam thanh nữ tú từng khiến bao con tim độc giả xao xuyến khi được đăng tải trên tạp chí Young Jump!! Hãy cùng Kaguya và Shirogane trải qua một mùa hè đáng nhớ nào!! “Trong tình yêu, ai tỏ tình trước là kẻ thua cuộc!” “Bản chất của tình yêu là nỗi sợ hãi. Khi không còn cảm giác kính sợ đối phương, tình yêu sẽ phai tàn” SáchTặng Kèm Bìa áo độc quyền cho bản in đầu tiên"
Boxset Hiệp sĩ phép màu (3 tập) (Tặng kèm thẻ nhân vật),598,121500,135000,5222215070100,không có,Clamp,Tuổi mới lớn,18,13,không có,bìa mềm,730,Hiệp sĩ phép màu,Manga - comic,"Trong một buổi tham quan ngoại khóa, ba nữ sinh trung học Hikaru, Umi và Fuu vô tình gặp gỡ trên đỉnh tháp Tokyo và bất ngờ bị một luồng ánh sáng trắng bao phủ kéo tới một thế giới kì lạ, nơi có ngọn núi lơ lửng trên bầu trời và có cá khổng lồ “bơi” giữa không trung. Đúng vào lúc cả ba tưởng mình sắp ngã thì một chú cá có cánh đã đỡ lấy họ, đưa về một ngọn núi. Tại đây họ gặp Clef - người có bề ngoài như một cậu bé nhưng tự xưng là đại pháp sư của Cefilo và đã 145 tuổi. Ông cho biết họ là những hiệp sĩ phép màu được công chúa Emeraude triệu hồi tới Cefilo để giải cứu vùng đất này. Từ đây, câu chuyện phép thuật kì ảo, đầy lộng lẫy và lôi cuốn đã bắt đầu... Ekip thực hiện của NXB Kim Đồng đã dành nhiều tâm huyết, thời gian và công sức để chăm chút cho MAGIC KNIGHT RAYEARTH. Trải qua nhiều công đoạn duyệt bản quyền với nhóm Tác giả có những yêu cầu cực kì cao CLAMP, cuối cùng thì HIỆP SĨ PHÉP MÀU - Series Manga phép thuật ""Kinh điển"" đã hoàn thành, chính thức lộ diện dưới ánh đèn ""sân khấu""!! Sau nhiều năm dài chờ đợi, các Fan Manga nói chung và Fan của bộ tứ CLAMP sẽ có dịp được rinh về một trong những ấn phẩm cầu kì nhất, xứng đáng có trong bộ sưu tập Manga thuộc dòng sách đẹp của NXB Kim Đồng! Xin bật mí rằng đây sẽ chỉ là ""cú nổ"" đầu tiên dành cho các Series mới của CLAMP mà nhà Kim mở màn trong năm 2022!  BOXSET 01 GỒM 3 TẬP, với quà tặng đặc biệt bên trong là những tấm thẻ nhựa bo góc nhân vật (Chỉ dành cho bản in phát hành lần đầu). Các bạn độc giả yêu truyện của CLAMP cũng như thích sưu tập những cuốn Manga với hình thức đẹp xin đừng bỏ lỡ nhé!!"
Saiki Kusuo - Kẻ siêu năng khốn khổ - Tập 13,615,5000,22000,5212214260013,978-604-2-22774-2,Shuichi Aso,Tuổi mới lớn,"17,6","11,3",192,bìa mềm,115,Saiki Kusuo - Kẻ siêu năng khốn khổ,Manga - comic,"Tên hảo ngọt Kusuo quyết định ghé cửa hàng bánh ngọt đang nổi như cồn dạo gần đây để ăn thử. Té ra, quán chỉ dành cho phái nữ! Sử dụng siêu năng lực, cậu đã giả gái qua cửa thành công. Nhưng không ngờ bên trong quán lại có ba cô bạn cùng lớp đang ngồi!?"
Yu-Gi-Oh! GX - Tập 3,601,5000,30000,5222215770003,978-604-2-27382-4,"Kazuki Takahashi, Naoyuki Kageyama",Tuổi mới lớn,"17,6","11,3",192,bìa mềm,140,Yu-Gi-Oh! GX,Manga - comic,"Tại giải đấu bài với phần thưởng là quyền được thách đấu Kaiser Ryo, Judai và các bạn bắt đầu bước vào những trận đấu kịch tính để giành phần thưởng đó. Cùng lúc ấy, Mac và Rabb, hai du học sinh đến từ Hoa Kì cũng tham gia giải đấu, ngấm ngầm tìm kiếm thẻ bài ẩn chứa tinh linh…!? Kazuki Takahashinbsp; “Tuy “Yu-Gi-Oh! GX” bản hoạt hình đã khép lại, nhưng hành trình của Judai và những người bạn vẫn tiếp tục ở bản truyện tranh. Bắt đầu từ tháng 4 năm 2008, phần hoạt hình mới mang tên “Yu-Gi-Oh! 5D’s” sẽ bắt đầu, nên mọi người cũng hãy tiếp tục ủng hộ cậu Kageyama nhé. Cảm ơn rất nhiều!”nbsp; Naoyuki Kageyama “Tựa đề của tác phẩm này là “Yu-Gi-Oh! GX”. Một khi đã gắn với cái tên “Yu-Gi-Oh!”, tôi muốn tận dụng những thiết lập gốc của nguyên tác nên đã sử dụng chi tiết “bàn đá và linh hồn Ka”. Ngẫm lại mới thấy bản thân đã gắn bó với “Yu-Gi-Oh!” được 10 năm rồi, thời gian trôi qua nhanh thật…”Ư nbsp;"
Dragon Ball Full Color - Phần năm - Tập 3,626,69300,77000,5222215400003,978-604-2-27251-3,Akira Toriyama,Tuổi mới lớn,17.6,11.3,228,bìa mềm,280,Dragon Ball Full Color,Manga - comic,"Nếu bạn là fan của DRAGON BALL - 7 VIÊN NGỌC RỒNG và những cuộc phiêu lưu của Khỉ Con Son Goku thì DRAGON BALL FULL COLOR sẽ làm bạn thích thú hơn nữa khi 100% cuốn truyện mà chúng ta yêu thích đều CÓ MÀU! Các nhân vật sẽ xuất hiện trước mắt bạn với màu da, màu tóc, phục trang và những khung cảnh vô cùng sống động! Những màn chiến đấu đặc trưng của DRAGON BALL cũng vì thế mà trở nên hoành tráng hơn bao giờ hết! Sau thời gian dài chuẩn bị và trao đổi với đại diện của tác giả Akira Toriyama, bộ truyện đã được NXB Kim Đồng phát hành với 100% bản quyền, phần ruột sách in màu rực rỡ trên giấy couché, có bìa áo 5 màu phản quang cực kì ấn tượng!! Dragon Ball Full Color có tổng cộng 32 tập, chia thành 6 phần, tương ứng với từng giai đoạn trưởng thành của Son Goku: Phần 1: Thời niên thiếu của Son Goku (8 tập) Phần 2: Đại ma vương Piccolo (4 tập) Phần 3: Cuộc đổ bộ của người Saiya (3 tập) Phần 4: Frieza Đại Đế (5 tập) Phần 5: Truy lùng Cell Bọ Hung (6 tập) Phần 6: Ma Buu (6 tập)"
Komi - Nữ thần sợ giao tiếp - Tập 14 (Tặng kèm Photostrip) (2022),629,22500,25000,5222214910014,978-604-2-23678-2,Tomohito Oda,Tuổi mới lớn,"17,6","11,3",192,bìa mềm,150,Komi - Nữ thần sợ giao tiếp,Manga - comic,"Kì nghỉ hè năm lớp 11 của Komi đầy ắp niềm vui và hạnh phúc cùng rất nhiều người bạn. Nào là tự mình đi xe buýt nhanh chạy đêm, về quê chơi cùng em họ và Inaka. Rồi cùng đạp xe với Tadano, tụ tập với các bạn cùng lớp và xem những thước phim được quay lại. Cô nàng còn giúp đỡ đứng quầy hàng ở lễ hội và đón bạn bè đến chơi. Chưa hết, chuyện tình cảm cũng đang có biến chuyển? Đừng bỏ lỡ tập 14 của câu chuyện hài hước về người đẹp sợ giao tiếp từng bước hoàn thành những việc muốn làm vào mùa hè nhé!! SáchTặng kèm Photostrip cho bản in đầu tiên"
Pokémon Best Wishes - Victini  anh hùng hắc lôi Zekrom,627,5000,25000,5222215880006,978-604-227741-9,"Satoshi Tajiri, Tsunekazu Ishihara, Momota Inoue, Sonoda Hideki",Thiếu niên,17.6,11.3,192,bìa mềm,120,Pokémon the movie,Manga - comic,"Nhóm bạn Satoshi đã đặt chân tới thị trấn Eindoark. Tại đây, họ gặp gỡ và kết thân với một Pokémon bí ẩn mang tên Victini! Nào ngờ, có một kẻ đang rắp tâm lợi dụng sức mạnh của sinh vật huyền ảo này… Hãy cùng lật mở những trang truyện “VICTINI VÀ ANH HÙNG HẮC LÔI ZEKROM”, chuyển thể từ Movie Pokémon Best Wishes, để theo dõi chuyến phiêu lưu của Satoshi cùng đồng đội nhé!! MOMOTA INOUE “Khả năng ban sức mạnh cho con người và Pokémon của Victini mới tuyệt làm sao… Tôi cũng muốn được tiếp thêm sức mạnh, nhất là khi hạn nộp bản thảo đang sát sàn sạt á…!!” nbsp;"
Komi - Nữ thần sợ giao tiếp - Tập 12 (Tặng Kèm Card PVC),693,22500,25000,5222214910012,978-604-2-23676-8,Tomohito Oda,Tuổi mới lớn,"17,6","11,3",192,bìa mềm,150,Komi - Nữ thần sợ giao tiếp,Manga - comic,"Trong một đêm yên tĩnh trước khi vào hè, Komi quyết tâm lên “danh sách những việc muốn làm trong kì nghỉ”. Xem ra hè năm nay sẽ làm được nhiều việc hơn so với năm ngoái. Hẳn là vì cô nàng đã có nhiều bạn hơn chăng? Sau đó Komi liền được Manbagi rủ đi biển chơi. Kì nghỉ hè của người đẹp sợ giao tiếp chuẩn bị bắt đầu với niềm hân hoan đang đón chờ phía trước!! Đừng bỏ lỡ tập 12 câu chuyện hài hước pha lẫn niềm vui dạt dào và hương vị mùa hè của người đẹp sợ giao tiếp!! SáchTặng Kèm Card PVC cho bản in đầu tiên"
Ngôn Ngữ Yêu Thương - Tập 10 (Tặng kèm Card PVC),631,27000,30000,5242217330010,978-604-2-33896-7,suu Morishita,Tuổi mới lớn,"17,6","11,3",160,bìa mềm,120,Ngôn Ngữ Yêu Thương,Manga - comic,"“Cuộc sống của hai đứa cuối cùng cũng bắt đầu rồi.” Được đàn anh khóa trên Itsuomi đối xử hết sức tự nhiên và ân cần, cô sinh viên điếc bầm sinh Yuki đã bị anh thu hút, rồi đem lòng cảm mến từ lúc nào chẳng hay Kể từ lúc hai người hẹn hò, Itsuomi luôn trân trọng Yuki hết mực. Yuki lại càng ngưỡng mộ Itsuomi hơn nữa khi cô khám phá ra những con người khác của anh. Nhân dịp Itsuomi đề nghị sống chung, hai người đã về thưa chuyện với bố mẹ Yuki và bắt đầu dọn ra ở riêng cùng nhau. Thế nhưng… Hãy cùng theo dõi bước chân hạnh phúc của đôi bạn trẻ ở tập 10, với những tình tiết xao xuyến tràn khung hình nhé ♥ SáchTặng kèm Card PVCcho bản in đầu tiên"
Pokémon Diamond  Pearl - Bá vương ảo ảnh Zoroark,603,5000,25000,5222215880005,978-604-227740-2,"Satoshi Tajiri, Tsunekazu Ishihara, Momota Inoue, Sonoda Hideki",Thiếu niên,17.6,11.3,192,bìa mềm,120,Pokémon the movie,Manga - comic,"Satoshi và những người bạn cùng đến thành phố Vương Miện để cổ vũ cho giải Pokémon accer, tuy nhiên, chờ đón họ lại là bộ ba Pokémon Huyền Thoại đang hung hăng tàn phá. Được biết, chính Zoroark xấu xa là kẻ thao túng từ đằng sau, nhưng mọi chuyện liệu có thật như thế?nbsp; Movie “ZOROARK BÁ VƯƠNG ẢO ẢNH” thuộc phần Pokémon Diamond amp; Pearl, nay được chuyển thể thành Manga vẫn giữ nguyên độ hấp dẫn! Các bạn độc giả đừng bỏ lỡ nhé!! MOMOTA INOUE “Lúc còn nhỏ, tôi suốt ngày mơ mộng về Pokémon và cầm bút nguệch ngoạc những sinh vật kì diệu ấy vào trang vở. Ai mà ngờ lớn lên, tôi lại được vẽ truyện tranh Pokémon chứ. Thật là ngoài sức tưởng tượng mà!”"
Dragon Quest - Dấu ấn Roto (Perfect Edition) - Tập 12 (Tặng Kèm Bookmark PVC),631,67500,75000,5222214900012,978-604-2-27581-1,"Kamui Fujiwara, Chiaki Kawamata",Tuổi mới lớn,18,13,272,bìa mềm,300,Dragon Quest - Dấu ấn Roto (Perfect Edition),Manga - comic,"DRAGON QUEST - DẤU ẤN ROTO: Series Manga đến từ thương hiệu Game huyền thoại chính thức đổ bộ tại Việt Nam vào cuối tháng 11.2021!! Có lẽ không cần phải giới thiệu quá nhiều về một trong những bộ Manga thuộc Series ""Dragon Quest"" cực kì nổi tại Việt Nam với tên gọi cũ là ""Dấu ấn rồng thiêng""! Phải gần 25 năm, người hâm mộ Dragon Quest mới được chính thức sở hữu những cuốn Manga có bản quyền và đặc biệt hơn, lại là bản HOÀN CHỈNH! Là phần truyện độc lập với series ""Adventure of Dai - Cuộc phiêu lưu của Dai Dũng sĩ"" trên tạp chí Jump, ""Emblem of Roto"" nói về hành trình của Dũng sĩ Arus - Người mang trong mình dòng máu của Dũng sĩ Roto - sát cánh bên Tam Vương nhằm tiêu diệt Dị Ma Thần. Để làm được điều đó, cậu phải vượt qua muôn vàn khó khăn và thử thách! Nhưng với trái tim nhân hậu và lòng quả cảm, Arus dần trưởng thành, lãnh hội được nhiều thần chú, học hỏi được nhiều điều qua mỗi vùng đất mà cậu phiêu lưu! Quan trọng là niềm tin mãnh liệt không hề lùi bước trước khó khăn! Không khó hiểu lí do vì sao ""Dấu ấn rồng thiêng"" ngày nào trở thành một trong những tác phẩm ""kinh điển"" của tuổi thơ những thế hệ độc giả Manga đời đầu. Trong vai trò là tác phẩm mở đường, DRAGON QUEST - DẤU ẤN ROTO cũng là bộ truyện thứ 5 thuộc dòng Deluxe của NXB Kim Đồng. Với sự đầu tư, chăm chút và đặt nhiều kì vọng, rất hi vọng các bạn độc giả sẽ đón nhận thật nhiệt thành, và sẽ có những trải nghiệm lí thú khi dõi theo bước đường trưởng thành của Dũng sĩ Arus cùng những người đồng đội! SáchTặng Kèm Bookmark PVC cho bản in đầu tiên"
Học viện siêu anh hùng - Tập 33 (2023),635,22500,25000,5232212010033,978-604-2-28433-2,Kohei Horikoshi,Thiếu niên,17.6,11.3,192,bìa mềm,130,Học viện siêu anh hùng,Manga - comic,"Lòng tin của dân chúng vào Siêu Anh hùng ngày càng lung lay, khiến các em học sinh trở nên bất an, vậy thì giáo viên chúng ta phải dốc toàn lực để bảo vệ các em ấy. Bởi Yuei chính là nơi chốn an toàn để quay về bất cứ lúc nào! Nhất định giọng nói... và tâm tư của mọi người... sẽ truyền được đến em ấy! “Plus Ultra”!! Kohei Horikoshi “Cảm ơn các bạn đã mua tập 33! Năm nay tôi cũng sẽ vẽ thật năng suất!!”"
Dragon Ball Full Color - Phần sáu - Tập 4,636,69300,77000,5232216030004,978-604-2-28413-4,Akira Toriyama,Tuổi mới lớn,17.6,11.3,232,bìa mềm,280,Dragon Ball Full Color,Manga - comic,"Nếu bạn là fan của DRAGON BALL - 7 VIÊN NGỌC RỒNG và những cuộc phiêu lưu của Khỉ Con Son Goku thì DRAGON BALL FULL COLOR sẽ làm bạn thích thú hơn nữa khi 100% cuốn truyện mà chúng ta yêu thích đều CÓ MÀU! Các nhân vật sẽ xuất hiện trước mắt bạn với màu da, màu tóc, phục trang và những khung cảnh vô cùng sống động! Những màn chiến đấu đặc trưng của DRAGON BALL cũng vì thế mà trở nên hoành tráng hơn bao giờ hết! Sau thời gian dài chuẩn bị và trao đổi với đại diện của tác giả Akira Toriyama, bộ truyện đã được NXB Kim Đồng phát hành với 100% bản quyền, phần ruột sách in màu rực rỡ trên giấy couché, có bìa áo 5 màu phản quang cực kì ấn tượng!! Dragon Ball Full Color có tổng cộng 32 tập, chia thành 6 phần, tương ứng với từng giai đoạn trưởng thành của Son Goku: Phần 1: Thời niên thiếu của Son Goku (8 tập) Phần 2: Đại ma vương Piccolo (4 tập) Phần 3: Cuộc đổ bộ của người Saiya (3 tập) Phần 4: Frieza Đại Đế (5 tập) Phần 5: Truy lùng Cell Bọ Hung (6 tập) Phần 6: Ma Buu (6 tập)"
Saiki Kusuo - Kẻ siêu năng khốn khổ - Tập 16,645,5000,22000,5212214260016,978-604-2-22777-3,Shuichi Aso,Tuổi mới lớn,"17,6","11,3",192,bìa mềm,115,Saiki Kusuo - Kẻ siêu năng khốn khổ,Manga - comic,"Học sinh mới chuyển đến lớp của Kusuo, Aiura Mikoto, là một siêu năng lực gia với sức mạnh tiên tri và tìm kiếm. Aiura đang tìm người được số phận an bài trở thành bạn đời của cô ở trong trường. Người-được-số-phận-an bài ấy, hay chính Kusuo, phải dùng mọi cách để che giấu thân phận. Liệu siêu năng lực gia trẻ tuổi có để lộ năng lực trước mặt Aiura khi cứu Yumehara khỏi nguy hiểm?"
Dược sư tự sự (Manga) - Tập 3+4 (Tặng 02 Standee Ivory + 01 Sticker),647,84600,94000,5222815020103,978-604-2-23851-9,"Natsu Hyuuga, Touco Shino, Itsuki Nanao, Nekokurage",Tuổi trưởng thành,18,13,194,bìa mềm,400,Dược sư tự sự,Wings Books,"Miêu Miêu đã giải đáp cho Nhâm Thị bối cảnh xuất hiện phần ăn có độc tại yến tiệc ngoài trời. Sau đó, mặc kệ Nhâm Thị bận tối mắt tối mũi với cả núi công việc còn dang dở, Miêu Miêu tận dụng cây trâm mình đã nhận được vào hôm diễn ra yến tiệc để lần đầu tiên sau 10 tháng, trở về phố hoa, cũng là trở về nhà. Thế nhưng, cô lại bị vướng vào một vụ án mới...!? Mời các bạn đọc tập 3 để chứng kiến khả năng suy luận ngày càng sắc bén của Miêu Miêu!! *** Sau lần về quê rồi trở lại hậu cung, mỗi khi có chuyện phiền toái xảy ra, Miêu Miêu lại bị đủ các bên nhờ vả. Một lời uỷ thác mới của Nhâm Thị có liên hệ với thủ phạm gây ra vụ đầu độc bất thành Lí Thụ phi ở yến tiệc ngoài trời và hé lộ chân tướng của toàn bộ sự việc đó...!? Tập 4 này là phần kết của hồi truyện về hậu cung, gói gọn toàn bộ nội dung cho đến hết tập 1 của tiểu thuyết nguyên tác!! * WINGS BOOKS - Thương hiệu sách trẻ của NXB Kim Đồng hân hạnh gửi đến các bạn độc giả phiên bản chuyển thể manga đặc sắc của bộ light-novel siêu ăn khách DƯỢC SƯ TỰ SỰ! Series đã vượt mốc 13 triệu bản tại thị trường Nhật Bản, luôn thống trị bảng xếp hạng bán chạy mỗi khi ra tập mới! Số tập: 9 (on-going) Combo Dược Sư Tự Sự (Manga) – Tập 3 + 4 (Tặng 02 Standee ivory + 01 Sticker) --- Một ấn phẩm của WINGS BOOKS - Thương hiệu sách trẻ của NXB Kim Đồng."
Bá tước tiểu thư - Tập 6,651,5000,30000,5222215560006,978-604-2-27563-7,"Chieko Hosokawa, Fu-min",Tuổi mới lớn,"17,6","11,3",192,bìa mềm,150,Bá tước tiểu thư,Manga - comic,"Câu chuyện diễn ra ở Pháp vào cuối thế kỷ XIX, thời kì Phồn hoa tươi đẹp. Corinne, cô gái trong sáng, hoạt bát lớn lên trong trại trẻ mồ côi đã có một mối tình trong sáng với chàng quý tộc mù Richard. Bên cạnh đó, bạn của Richard, Vua báo chí tuổi trẻ tài cao Alain lại tha thiết yêu cô. Khi Richard đến Paris phẫu thuật mắt, Corinne mới biết thân phận thực sự của mình là cháu gái Bá tước Ronsard. Trên đường đến Paris đoàn tụ người thân, con tàu chẳng may bị đắm, cướp đi trí nhớ của cô. Lợi dụng tai nạn ấy, ả móc túi Anna đã mạo danh Corinne, thế chỗ cô trở thành tiểu thư nhà Bá tước... Đan xen giữa tình yêu và thù hận, lãng mạn và buồn thương, BÁ TƯỚC TIỂU THƯ - Series Manga cổ điển thập niên cũ hứa hẹn sẽ mang đến cho độc giả nhiều cung bậc cảm xúc qua nét vẽ trau chuốt, tỉ mỉ của Chieko Hosokawa & Fu~min - Bộ đôi đã sáng tác ""NỮ HOÀNG AI CẬP"" (Tên cũ) - Một trong những tác phẩm truyện tranh gắn liền với tuổi thơ của nhiều thế hệ độc giả. Nhà xuất bản Kim Đồng xin trân trọng giới thiệu cùng bạn đọc."
Ninja Rantaro - Tập 59,656,5000,40000,5222205440059,978-604-2-23618-8,Soubee Amako,Nhi đồng,18,13,240,bìa mềm,225,Ninja Rantaro,Manga - comic,"Ikeda Saburoji amp; Kawanishi Sakon amp; Nose Kyusaku amp; Tokimoto Shirobee Saburoji xuất hiện từ tập 3. Cung Xử Nữ, nhóm máu A, 11 tuổi. Rất chỉn chu, hỗ trợ tối đa cho đội thuốc súng luôn thiếu người. Học lớp 2C. Sakon xuất hiện lần đầu tiên ở tập 3. Cung Thiên Bình, nhóm máu O, 11 tuổi. Đội viên đội y tế, rất biết nghĩ tới mọi người với các món ăn đêm. Học lớp 2C. Kyusaku xuất hiện lần đầu tiên ở tập 3. Cung Cự Giải, nhóm máu A, 11 tuổi. Là người cẩn thận và luôn làm tốt việc của một đội viên thư viện. Học lớp 2C. Shirobee xuất hiện lần đầu tiên ở tập 36. Cung Kim Ngưu, nhóm máu B, 11 tuổi. Khuôn mặt trông hơi giống bù nhìn rơm. Đội viên đội thể dục, học lớp 2A. SOUBEE AMAKO “Mùa hoa anh đào là mùa nhiều người sẽ có một khởi đầu mới, còn với bác, đó lại là mùa chia tay. Trường mẫu giáo Hakuai của thành phố Amagasaki - nơi các anh chị em trong nhà bác từng học - đã đóng cửa vào tháng 3 năm nay. Một ngôi trường có lịch sử 125 năm với rất nhiều kỉ niệm nên bác thấy thật buồn. Nhưng bác cũng rất vui vì được cùng các cháu nhỏ khóa cuối cùng tốt nghiệp đi trải nghiệm về ninja. Nhất định bác sẽ không quên điệu nhảy ninja tuyệt vời của lớp Hoa Hồng đâu!” nbsp;"
Dr.SLUMP Ultimate Edition,661,54000,60000,6242213870001,không có,Akira Toriyama,Tuổi mới lớn,18,13,236,bìa mềm,260,Dr.SLUMP Ultimate Edition,Manga - Comic,"Mặt trời lại mọc trên ngôi làng Penguin ~ Mảnh đất của những chuyên gia tấu hài!! Nơi mà ai cũng điên khùng theo một cách riêng... Đừng cố lí giải vì mọi thứ ở đây đều không theo một quy luật nào! Như vậy là bộ truyện tranh hài hước siêu kinh điển DR. SLUMP dưới ngòi búi dí dỏm sở trường của hoạ sĩ lão làng Akira Toriyama nay đã quay trở lại với diện mạo mới!! Phiên bản 2020 của NXB Kim Đồng với tên gọi DR. SLUMP - ULTIMATE EDITION được đầu tư về hình thức với 100% data, giữ nguyên trang màu gốc và bìa áo lấp lánh ánh sao!! Truyện cũng được làm mới hoàn toàn phần dịch thuật, được Ekip kinh nghiệm của NXB dày công thực hiện, chắc chắn các Fan của 7 VIÊN NGỌC RỒNG - DRAGON BALL và Fan của họa sĩ Akira Toriyama không thể bỏ lỡ!"
